CountyFIPS,County Name,State,ConfirmedCases,ConfirmedDeaths
1001,Autauga County,AL,661,14
1003,Baldwin County,AL,1131,11
1005,Barbour County,AL,371,2
1007,Bibb County,AL,211,1
1009,Blount County,AL,282,1
1011,Bullock County,AL,375,11
1013,Butler County,AL,646,28
1015,Calhoun County,AL,445,5
1017,Chambers County,AL,672,27
1019,Cherokee County,AL,115,7
1021,Chilton County,AL,295,3
1023,Choctaw County,AL,203,12
1025,Clarke County,AL,295,6
1027,Clay County,AL,74,2
1029,Cleburne County,AL,41,1
1031,Coffee County,AL,412,4
1033,Colbert County,AL,474,6
1035,Conecuh County,AL,229,7
1037,Coosa County,AL,62,1
1039,Covington County,AL,412,12
1041,Crenshaw County,AL,130,3
1043,Cullman County,AL,549,5
1045,Dale County,AL,365,1
1047,Dallas County,AL,971,9
1049,DeKalb County,AL,851,6
1051,Elmore County,AL,1005,19
1053,Escambia County,AL,452,8
1055,Etowah County,AL,894,14
1057,Fayette County,AL,81,1
1059,Franklin County,AL,927,16
1061,Geneva County,AL,92,0
1063,Greene County,AL,192,8
1065,Hale County,AL,342,22
1067,Henry County,AL,144,4
1069,Houston County,AL,567,8
1071,Jackson County,AL,378,3
1073,Jefferson County,AL,6092,164
1075,Lamar County,AL,82,1
1077,Lauderdale County,AL,540,6
1079,Lawrence County,AL,120,0
1081,Lee County,AL,1527,38
1083,Limestone County,AL,579,1
1085,Lowndes County,AL,484,24
1087,Macon County,AL,212,9
1089,Madison County,AL,1934,9
1091,Marengo County,AL,332,11
1093,Marion County,AL,249,14
1095,Marshall County,AL,1879,11
1097,Mobile County,AL,4442,141
1099,Monroe County,AL,251,3
1101,Montgomery County,AL,4386,111
1103,Morgan County,AL,1234,5
1105,Perry County,AL,209,1
1107,Pickens County,AL,258,6
1109,Pike County,AL,465,5
1111,Randolph County,AL,246,9
1113,Russell County,AL,664,0
1115,St. Clair County,AL,481,2
1117,Shelby County,AL,1535,24
1119,Sumter County,AL,286,12
1121,Talladega County,AL,361,8
1123,Tallapoosa County,AL,625,70
1125,Tuscaloosa County,AL,2566,50
1127,Walker County,AL,1066,27
1129,Washington County,AL,130,7
1131,Wilcox County,AL,299,8
1133,Winston County,AL,293,3
2013,Aleutians East Borough,AK,0,0
2016,Aleutians West Census Area,AK,0,0
2020,Municipality of Anchorage,AK,619,6
2050,Bethel Census Area,AK,6,0
2060,Bristol Bay Borough,AK,0,0
2068,Denali Borough,AK,0,0
2070,Dillingham Census Area,AK,0,0
2090,Fairbanks North Star Borough,AK,185,2
2100,Haines Borough,AK,2,0
2105,Hoonah-Angoon Census Area,AK,0,0
2110,City and Borough of Juneau,AK,46,0
2122,Kenai Peninsula Borough,AK,182,2
2130,Ketchikan Gateway Borough,AK,21,0
2150,Kodiak Island Borough,AK,3,0
2158,Kusilvak Census Area,AK,0,0
2164,Lake and Peninsula Borough,AK,0,0
2170,Matanuska-Susitna Borough,AK,127,1
2180,Nome Census Area,AK,5,0
2185,North Slope Borough,AK,4,0
2188,Northwest Arctic Borough,AK,4,0
2195,Petersburg Census Area,AK,4,1
2198,Prince of Wales-Hyder Census Area,AK,2,0
2220,Sitka City and Borough,AK,11,0
2230,Skagway Municipality,AK,0,0
2240,Southeast Fairbanks Census Area,AK,3,0
2261,Valdez-Cordova Census Area,AK,0,0
2270,Wade Hampton Census Area,AK,0,0
2275,Wrangell City and Borough,AK,3,0
2282,Yakutat City and Borough,AK,0,0
2290,Yukon-Koyukuk Census Area,AK,2,0
4001,Apache County,AZ,2520,101
